event;function;filename;outDevice;startTime;duration;factorsLab;opposite;adjacent;beamWidth;exec;nextActTrig
timeD;sineWave;;TV;1;0.2;;;;;;1
waitOnQueue;nextButton;;;;;;;;;0;
onNextButton;playWave;TV.wav;TV;;3600;;;;;1;
onNextButton;playWave;interference.wav;REF;;3600;;;;;1;
onNextButton;recordWave;;;;3600;Ia;;;;1;1
onNextButton;recordRPI;;;;3600;Ia;-1;0.5;40;1;
waitOnQueue;sineWave;;TV;;0.5;;;;;1;
waitOnQueue;nextButton;;;;;;;;;1;
onNextButton;playWave;TV.wav;TV;;3600;;;;;2;
onNextButton;playWave;interference.wav;REF;;3600;;;;;2;
onNextButton;recordWave;;;;3600;IIa;;;;2;1
onNextButton;recordRPI;;;;3600;IIa;-2;0.5;40;2;
waitOnQueue;sineWave;;REF;;0.5;;;;;2;
waitOnQueue;nextButton;;;;;;;;;2;
onNextButton;playWave;TV_16bit.wav;TV;;3600;;;;;3;
onNextButton;playWave;interference.wav;REF;;3600;;;;;3;
onNextButton;recordWave;;;;3600;IIIa;;;;3;1
onNextButton;recordRPI;;;;3600;IIIa;-0.55;1;40;3;
waitOnQueue;sineWave;;TV;;0.5;;;;;3;
waitOnQueue;nextButton;;;;;;;;;3;
onNextButton;playWave;TV.wav;TV;;3600;;;;;4;
onNextButton;recordWave;;;;3600;IIIb;;;;4;1
onNextButton;recordRPI;;;;3600;IIIb;-0.55;1;40;4;
waitOnQueue;sineWave;;REF;;0.5;;;;;4;
